,content_vgg_mse,style_gram_mse,style_stats_mse
count,25.0,25.0,25.0
mean,15.650207557678222,0.00020472031959798187,2.234041540622711
std,3.8824050204031075,0.00015372069722396025,1.1739943664297126
min,7.240105628967285,3.5826971725327894e-05,0.7402830123901367
25%,15.519344329833984,0.0001023536897264421,1.5876729488372803
50%,17.11111068725586,0.00017806100368034095,1.9904240369796753
75%,18.096088409423828,0.00021024805027991533,2.487621545791626
max,19.81525993347168,0.000531767844222486,4.460756301879883
