content,style,output,status,method,alpha,runtime_seconds,content_vgg_mse,style_gram_mse,style_stats_mse
corgi.png,Water_Lilies_Monet.png,outputs/transformer/corgi__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7772406619988033,6.755185127258301,3.054443732253276e-05,0.47324514389038086
corgis.png,Composition_VIII_Kandinsky.png,outputs/transformer/corgis__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7099890890003735,5.267635345458984,0.00015285718836821616,2.434582471847534
corgis.png,Guernica_Picasso.png,outputs/transformer/corgis__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.7750496530006785,6.35969352722168,3.200769788236357e-05,0.8541638255119324
corgis.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/corgis__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6962887879999471,7.51840877532959,9.675293404143304e-05,1.2160916328430176
corgis.png,The_Scream_Munch.png,outputs/transformer/corgis__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.6851713050000399,7.108335971832275,4.5764878450427204e-05,0.6339296698570251
corgis.png,Water_Lilies_Monet.png,outputs/transformer/corgis__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7042556099986541,6.639741897583008,3.1279570976039395e-05,0.4795551002025604
family_portait.png,Composition_VIII_Kandinsky.png,outputs/transformer/family_portait__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.9115050889995473,7.429854869842529,0.00014843388635199517,2.0813486576080322
family_portait.png,Guernica_Picasso.png,outputs/transformer/family_portait__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.6600253279993922,8.405590057373047,3.0684554076287895e-05,0.7920166254043579
family_portait.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/family_portait__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6180427380004403,9.540807723999023,0.00010293616651324555,1.0521639585494995
family_portait.png,The_Scream_Munch.png,outputs/transformer/family_portait__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.7099687289992289,8.849940299987793,2.947715802292805e-05,0.49937134981155396
family_portait.png,Water_Lilies_Monet.png,outputs/transformer/family_portait__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,1.2010875119995035,8.521025657653809,2.57982737821294e-05,0.6472525000572205
flowers.png,Composition_VIII_Kandinsky.png,outputs/transformer/flowers__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7065484799986734,9.90008544921875,0.00015038446872495115,2.298002243041992
flowers.png,Guernica_Picasso.png,outputs/transformer/flowers__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.7156457849996514,10.739490509033203,3.761023981496692e-05,0.9000707864761353
flowers.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/flowers__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.7187221829990449,11.27426815032959,0.00011062000703532249,1.1620972156524658
flowers.png,The_Scream_Munch.png,outputs/transformer/flowers__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.6729576510006154,11.039689064025879,4.0049097151495516e-05,0.6173640489578247
flowers.png,Water_Lilies_Monet.png,outputs/transformer/flowers__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.6835427059995709,10.824810028076172,3.1233237677952275e-05,0.5335968136787415
forest.png,Composition_VIII_Kandinsky.png,outputs/transformer/forest__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7919563020004716,5.7884602546691895,0.00015966904175002128,2.6294708251953125
forest.png,Guernica_Picasso.png,outputs/transformer/forest__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.772755275000236,6.308309555053711,0.00020078277157153934,1.7468109130859375
forest.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/forest__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6911097270003665,6.705880165100098,0.0001617084926692769,1.441066861152649
forest.png,The_Scream_Munch.png,outputs/transformer/forest__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.6967054579999967,6.667443752288818,0.00023200991563498974,1.4616080522537231
forest.png,Water_Lilies_Monet.png,outputs/transformer/forest__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7069810349985346,6.312891006469727,0.00020544677681755275,1.2051347494125366
golden_retreiver.png,Composition_VIII_Kandinsky.png,outputs/transformer/golden_retreiver__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.8403737030002958,6.113317489624023,0.00014563380682375282,2.479686737060547
golden_retreiver.png,Guernica_Picasso.png,outputs/transformer/golden_retreiver__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.8064414879991091,6.716140270233154,8.1246042100247e-05,1.244126319885254
golden_retreiver.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/golden_retreiver__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6937965399993118,7.310118198394775,9.860115096671507e-05,1.2401961088180542
golden_retreiver.png,The_Scream_Munch.png,outputs/transformer/golden_retreiver__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.6858914240001468,7.039982318878174,9.274924377677962e-05,0.9552812576293945
golden_retreiver.png,Water_Lilies_Monet.png,outputs/transformer/golden_retreiver__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7025105419997999,6.743806838989258,7.236492092488334e-05,0.6813382506370544
group_photo.png,Composition_VIII_Kandinsky.png,outputs/transformer/group_photo__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.7195354079995013,13.203895568847656,0.00014650246885139495,2.07893443107605
group_photo.png,Guernica_Picasso.png,outputs/transformer/group_photo__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.6834746479999012,14.116533279418945,5.143711678101681e-05,0.974203884601593
group_photo.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/group_photo__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.6549886329994479,15.229551315307617,9.996622247854248e-05,1.0075050592422485
group_photo.png,The_Scream_Munch.png,outputs/transformer/group_photo__The_Scream_Munch__transformer_alpha0.8.png,ok,transformer,0.8,0.8182203809992643,14.920852661132812,7.236380770336837e-05,0.8047296404838562
group_photo.png,Water_Lilies_Monet.png,outputs/transformer/group_photo__Water_Lilies_Monet__transformer_alpha0.8.png,ok,transformer,0.8,0.7813423250008782,14.32649040222168,5.373157546273433e-05,0.8572574853897095
horses.png,Composition_VIII_Kandinsky.png,outputs/transformer/horses__Composition_VIII_Kandinsky__transformer_alpha0.8.png,ok,transformer,0.8,0.687189460000809,10.321642875671387,0.00014390952128451318,2.320988178253174
horses.png,Guernica_Picasso.png,outputs/transformer/horses__Guernica_Picasso__transformer_alpha0.8.png,ok,transformer,0.8,0.7922531160002109,10.878238677978516,6.871255027363077e-05,1.07973313331604
horses.png,Starry_Night_Van_Gogh.jpg,outputs/transformer/horses__Starry_Night_Van_Gogh__transformer_alpha0.8.png,ok,transformer,0.8,0.7158812689995102,11.448163986206055,9.914999827742577e-05,1.1713711023330688
