,alpha,runtime_seconds,content_vgg_mse,style_gram_mse,style_stats_mse
count,100.0,100.0,100.0,100.0,100.0
mean,0.7999999999999998,0.7626331792699602,8.61336755990982,8.4464541187117e-05,1.17661033898592
std,2.2316322462394835e-16,0.16048910537839803,3.0750676160178037,5.360184502231154e-05,0.6682970220033352
min,0.8,0.6180427380004403,3.868703603744507,7.664943950658198e-06,0.22481480240821838
25%,0.8,0.686998479250633,6.215836405754089,3.246731102990452e-05,0.6679364740848541
50%,0.8,0.7093321660004221,7.60529899597168,7.53445056034252e-05,0.9789009094238281
75%,0.8,0.7809985707508531,10.963128566741943,0.00013758147542830557,1.4427661299705505
max,0.8,1.6267323510001006,15.229551315307617,0.00023200991563498974,2.7348389625549316
