,content_vgg_mse,style_gram_mse,style_stats_mse
count,15.0,15.0,15.0
mean,1.3048707207043966,2.0134825232768585e-05,0.7050994594891866
std,0.6748296647692545,5.794147066379271e-06,0.10990161127306565
min,0.6298786997795105,1.2970564966963138e-05,0.5343782305717468
25%,0.7559624910354614,1.5495409570576157e-05,0.63109290599823
50%,1.0069515705108643,1.7772927094483748e-05,0.6783036589622498
75%,2.053701639175415,2.6072546461364254e-05,0.7893003523349762
max,2.393484115600586,2.9470049412338994e-05,0.9122185707092285
